VLAN_ID,INTERFACE,ROLE,STATUS,COST,PORT_PRIORITY,PORT_ID,TYPE
999,Gi0/1,Desg,FWD,4,128,2,P2p Edge 
999,Gi0/2,Desg,FWD,4,128,3,P2p Edge 
999,Gi0/3,Desg,FWD,4,128,4,P2p Edge
