INTF,IPADDR,STATUS,PROTO,VRF
Loopback0,unassigned,Shutdown,Down,default
MgmtEth0/0/CPU0/0,10.10.20.174,Up,Up,Mgmt-intf
GigabitEthernet0/0/0/0,172.16.252.38,Up,Up,default
GigabitEthernet0/0/0/1,172.16.253.3,Up,Up,default
GigabitEthernet0/0/0/2,172.16.252.26,Up,Up,default
GigabitEthernet0/0/0/3,172.16.252.34,Up,Up,default
