OSPF_PID,VRF,NEIGHBOR_IPADDR,STATE,UPTIME,LOCAL_IPADDR,INTERFACE
,,172.16.252.25,FULL/BDR,07:18:06,172.16.252.10,Eth1/3
,,172.16.252.33,FULL/DR,07:19:13,172.16.252.14,Eth1/4
