PROTOCOL,TYPE,NETWORK,MASK,DISTANCE,METRIC,NEXTHOP_IP,NEXTHOP_IF
S,,172.16.0.0,16,1,0,172.31.252.2,
C,,172.31.0.0,24,,,,GigabitEthernet3
L,,172.31.0.1,32,,,,GigabitEthernet3
C,,172.31.252.0,24,,,,GigabitEthernet2
L,,172.31.252.1,32,,,,GigabitEthernet2
