OSPF_PID,VRF,NEIGHBOR_IPADDR,STATE,LOCAL_IPADDR,INTERFACE
,,172.16.252.25,FULL/DR,172.16.252.10,Eth1/3
,,172.16.252.33,FULL/DR,172.16.252.14,Eth1/4
