OSPF_PID,VRF,NEIGHBOR_IPADDR,STATE,UPTIME,LOCAL_IPADDR,INTERFACE
,,172.16.252.25,FULL/DR,05:28:35,172.16.252.2,Eth1/3
,,172.16.252.33,FULL/DR,05:28:37,172.16.252.6,Eth1/4
