OSPF_PID,VRF,NEIGHBOR_IPADDR,STATE,UPTIME,LOCAL_IPADDR,INTERFACE
,,172.16.252.25,FULL/BDR,07:47:37,172.16.252.2,Eth1/3
,,172.16.252.33,FULL/DR,07:48:39,172.16.252.6,Eth1/4
